seller-sku	asin1	price	quantity
DCG-2408-2119	B01LZ18AJC	33.1	30
DCG-2408-212	B007D82794	61.1	30
DCG-2408-2130	B01N046YFW	61.39	30
DCG-2408-2134	B01N2GUZA0	59.66	30
DCG-2408-2147	B06XRXH8QC	51.25	30
DCG-2408-2153	B06XYQ5F62	79.46	30
DCG-2408-216	B00A6WOEUO	36.14	30
DCG-2408-2179	B0742C11ZV	31.95	30
DCG-2408-219	B00C8VW81I	57.64	30
DCG-2408-2192	B075CTY7KV	32.43	30
DCG-2408-2201	B075XBQTKN	32.52	30
DCG-2408-2203	B076DTHGBT	39.93	30
DCG-2408-2212	B077MD7DR8	37.09	30
DCG-2408-2219	B078H5V9NT	61.98	30
DCG-2408-2231	B07B4MPB5T	63.28	30
DCG-2408-2232	B07B5YVMY3	44.58	30
DCG-2408-2235	B07BK7GXK2	64.63	30
DCG-2408-2237	B07BNZ5DWC	32.37	20
DCG-2408-2268	B07F1BNVY4	50.71	30
DCG-2408-2275	B07FGDDP2V	32.24	30
DCG-2408-228	B00GYPL42I	37.31	30
DCG-2408-2282	B07G2NG6FH	28.49	30
DCG-2408-2283	B07G4YB46H	73.28	30
DCG-2408-2288	B07GJSD1QS	30.76	30
DCG-2408-2299	B07H2B174V	71.2	30
DCG-2408-2304	B07H64ZV3F	36.44	30
DCG-2408-2317	B07HVYM4S9	28.51	30
DCG-2408-2318	B07HYMXMVB	33.68	30
DCG-2408-2319	B07J18XQLJ	30.31	30
DCG-2408-2327	B07JCHPCNK	36.42	30
DCG-2408-2333	B07JHCFQ8F	37.4	16
DCG-2408-2359	B07KYFK126	56.18	30
DCG-2408-236	B00M3CM4A2	38	30
DCG-2408-2361	B07KYW8NR3	30.27	30
DCG-2408-25	B004DDHCR4	60.78	30
DCG-2408-256	B00VUVFVLQ	42.96	30
DCG-2408-286	B01CE4JXTS	34.42	30
DCG-2408-288	B01CWAQ900	110.97	30
DCG-2408102	B01N6IGZW3	38.09	30
DCG-2408103	B01NBWMCFV	154.58	30
DCG-2408122	B071S1R2GG	76.54	27
DCG-2408127	B07356YJHB	48.66	30
DCG-2408153	B079L16BQZ	142.57	30
DCG-2408162	B07BLRNXM9	25.49	30
DCG-2408175	B07CQRJ8JT	38.79	30
DCG-2408178	B07D77QCN4	25.27	30
DCG-2408189	B07DZ5RX97	40	30
DCG-2408194	B07FB8X98P	42.07	30
DCG-2408195	B07FN19YPT	61.09	30
DCG-240820	B00D0E7TM0	30.27	24
DCG-2408200	B07G663GK1	40.52	30
DCG-2408203	B07GMK9ZQT	39.45	20
DCG-2408211	B07GYP5GDZ	45.78	30
DCG-2408216	B07H9SGGMH	54.66	21
DCG-2408218	B07HNT6C5Z	48.85	30
DCG-2408234	B07K6X4ZQ6	38.25	30
DCG-2408249	B07LD7BD77	32.27	30
DCG-2408250	B07LDDT2W6	79.55	30
DCG-2408251	B07LGW29LW	30.02	30
